[header]
width=32
height=18
tilewidth=23
tileheight=23
orientation=orthogonal

[tilesets]
tileset=../Desktop/Current Homework/Game Programming/CS3113 Projects/project_template/Xcode/Platformer/Space_invaders/spritesheet.png,23,23,0,0
tileset=../Desktop/Current Homework/Game Programming/CS3113 Projects/project_template/Xcode/Platformer/Space_invaders/spritesheet.png,21,21,0,0

[layer]
type=Tile Layer 1
data=
107,0,0,0,631,0,107,0,323,462,0,107,0,0,0,107,0,0,107,0,0,107,0,0,631,462,107,0,0,323,0,0,
0,0,107,639,640,641,0,0,0,107,0,0,323,0,0,0,107,0,0,107,0,0,0,639,640,641,0,107,0,0,0,107,
107,0,0,669,670,671,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,669,670,671,0,0,0,0,0,0,
0,644,0,462,665,18,0,0,0,644,0,0,0,0,644,18,0,0,0,0,879,0,18,462,665,18,0,0,0,108,644,0,
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,
33,804,0,0,0,837,837,837,0,0,0,0,0,0,837,0,0,0,0,0,0,837,837,0,0,805,35,35,35,35,35,33,
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,35,35,35,33,
33,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,805,33,
33,0,0,0,733,0,0,0,0,7,8,0,7,8,0,7,8,0,7,8,0,0,0,0,0,0,0,0,0,0,0,33,
33,615,615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,33,
33,33,33,33,33,33,33,33,33,33,33,804,837,837,0,0,0,0,806,33,33,33,33,33,33,2,0,0,0,0,0,33,
33,0,0,837,837,805,33,33,33,33,804,0,0,0,0,0,0,0,0,805,33,33,33,33,804,0,2,0,0,0,0,33,
33,703,0,0,0,0,805,804,0,0,0,0,0,0,0,0,0,0,0,0,0,805,804,0,0,0,0,3,0,0,4,33,
33,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,33,
33,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,0,0,0,0,0,0,0,0,3,4,33,33,33,
33,33,33,4,0,0,0,0,0,0,0,0,4,33,33,33,33,33,4,0,0,0,0,0,0,0,4,4,33,33,33,33,
33,33,33,33,4,4,4,4,0,0,0,4,33,33,33,33,33,33,33,4,0,0,0,0,4,33,33,33,33,33,33,33,
33,33,33,33,33,33,33,33,4,4,4,33,33,33,33,33,33,33,33,33,3,3,3,3,33,33,33,33,33,33,33,33

